Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=GND Pin=D7-1
Removed Pin From Net: NetName=GND Pin=D7-2
Removed Pin From Net: NetName=NetJ1_2 Pin=J1-2
Removed Pin From Net: NetName=NetJ1_2 Pin=J1-20
Removed Pin From Net: NetName=GND Pin=J3-9
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Pin From Net: NetName=GND Pin=U6-3
Removed Member From Class: ClassName=PowerSection Member=D13
Removed Member From Class: ClassName=PowerSection Member=D14
Removed Member From Class: ClassName=Dosimeter Member=R15
Removed Member From Class: ClassName=TemperatureMonitor Member=U2
Removed Member From Class: ClassName=TemperatureMonitor Member=U6
Change Component Footprint: Designator=U2 Old Footprint=ADI-RW-16_L New Footprint=FP-R-8-IPC_C
Change Component Footprint: Designator=R27 Old Footprint=FP-MCT0603-MFG New Footprint=RESC1005X40N
Change Component Footprint: Designator=U6 Old Footprint=LP0003A New Footprint=FP-R-14-IPC_C
Change Component Footprint: Designator=D9 Old Footprint=VISH-SOD-323-2_V New Footprint=RF05VYM1SFHTR
Change Component Comment : Designator=U2 Old Comment=AD713JRZ-16 New Comment=AD620ARZ-REEL7
Change Component Comment : Designator=U6 Old Comment=LM35CZ/NOPB New Comment=ADA4522-4ARZ-RL
Change Component Comment : Designator=R27 Old Comment=MCT06030C2400FP500 New Comment=0402WGF1000TCE
Change Managed Component Library Link : Designator=U2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=28638A47-840E-4775-BDB8-AFC5A9E3C880 New ItemGUID=56E43541-BF74-434D-B256-9C7BBC72972A Old RevisionGUID=440750CF-316B-425F-9199-3365FD87883E New RevisionGUID=53AD528E-DD1A-4914-BCAD-923E52132B74
Change Managed Component Library Link : Designator=U6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7BF51AB9-6300-4734-A1DB-7B0B2F8DB09A New ItemGUID=B4F8013A-5843-4F83-8805-56C333ACD7C6 Old RevisionGUID=B2F5D09B-96B6-49F1-89B5-9F8EAD38EA49 New RevisionGUID=04A22B94-9158-4F6D-8BA1-6D8D61689266
Change Managed Component Library Link : Designator=R27 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=3458345C-EDE1-4718-8118-DC395A4F29CA New ItemGUID= Old RevisionGUID=B17701B1-3650-4C62-B2D5-B9317870B428 New RevisionGUID=
Change component parameters: Designator = "R27" ("R27"); Footprint = "FP-MCT0603-MFG"; UniqueID = "\BFAYDFFW\OHRYJZFJ" ("\BFAYDFFW\OHRYJZFJ")
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "�100ppm/캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Track Resistance"; Value = "5kohm"; VariantName = "[No Variations]"
Added Component: Designator=R34(RESC1508X55N)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Vishay Beyschlag'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "MCT06030C1001FP500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R35(RESC1508X55N)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Vishay Beyschlag'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "MCT06030C1001FP500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R36(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R37(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R38(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R39(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R40(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R41(RES_UPF50B2K0V_TEC)
Add component (AddParameter): Name = "Mfr_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R42(RES_UPF50B2K0V_TEC)
Add component (AddParameter): Name = "Mfr_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R43(RES_UPF50B2K0V_TEC)
Add component (AddParameter): Name = "Mfr_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R44(RES_UPF50B2K0V_TEC)
Add component (AddParameter): Name = "Mfr_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R45(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R46(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R47(RES_UPF50B2K0V_TEC)
Add component (AddParameter): Name = "Mfr_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R48(RES_UPF50B2K0V_TEC)
Add component (AddParameter): Name = "Mfr_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RefDes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R49(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R50(RESC1508X55N)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Vishay Beyschlag'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "MCT06030C1001FP500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R51(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R52(RESAD1690W60L710D245)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/h810kbya/te-connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/DKDS-21/401710.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "279-H810KBYA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.com/Search/Refine.aspx?Keyword=279-H810KBYA"; VariantName = "[No Variations]"
Added Component: Designator=R53(RESC1508X55N)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Vishay Beyschlag'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "MCT06030C1001FP500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R54(RESC1508X55N)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Vishay Beyschlag'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "MCT06030C1001FP500"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U8(FP-R-16-IPC_B)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.analog.com/media/en/technical-documentation/data-sheets/ADG451_452_453.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Interface ICs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Analog Switches"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "IC SWITCH QUAD SPST 16SOIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.analog.com/media/en/package-pcb-resources/package/pkg_pdf/soic_narrow-r/r_16.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Analog Devices"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ADG452BRZ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "12V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Analog Switch ICs LC2MOS 5 Ohm SPST"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mux Demux Ratio"; Value = "1:1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Supply Current"; Value = "0.0001uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Circuits"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/adg452brz-analog+devices-512739"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On State Resistance"; Value = "4-7O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "R-16"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40캜 to +85캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+85캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPST-NO"; VariantName = "[No Variations]"
Added Component: Designator=U9(FP-R-14-IPC_C)
Add component (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Common Mode Rejection Ratio"; Value = "140dB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gain Bandwidth Product"; Value = "2.7MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Bias Current"; Value = "50pA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Offset Voltage (Vos)"; Value = "1.5uV"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Dual Supply Voltage"; Value = "27.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "55V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Dual Supply Voltage"; Value = "2.25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "4.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Circuits"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Current"; Value = "830uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current per Channel"; Value = "32mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Supply Rejection Ratio (PSRR)"; Value = "150dB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate"; Value = "1.7V/탎"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Gain"; Value = "137dB"; VariantName = "[No Variations]"
Added Component: Designator=U?(FP-R-8-IPC_C)
Add component (AddParameter): Name = "-3db Bandwidth"; Value = "1MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Bandwidth"; Value = "800kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Common Mode Rejection Ratio"; Value = "93dB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dual Supply Voltage"; Value = "15V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Bias Current"; Value = "500pA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Offset Voltage (Vos)"; Value = "30mV"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Resistance"; Value = "10GR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Dual Supply Voltage"; Value = "18V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "650mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Dual Supply Voltage"; Value = "2.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55캜"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "4.6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Supply Current"; Value = "900uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Circuits"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Current"; Value = "1.3mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Voltage"; Value = "18V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current per Channel"; Value = "18mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "650mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Supply Rejection Ratio (PSRR)"; Value = "140dB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate"; Value = "1.2V/탎"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Current"; Value = "900uA"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C14-2
Added Pin To Net: NetName=NetC7_2 Pin=C15-1
Added Pin To Net: NetName=GND Pin=C15-2
Added Pin To Net: NetName=NetQ2_3 Pin=C16-1
Added Pin To Net: NetName=GND Pin=C16-2
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=NetQ2_3 Pin=C18-1
Added Pin To Net: NetName=GND Pin=C18-2
Added Pin To Net: NetName=NetC7_2 Pin=C19-1
Added Pin To Net: NetName=GND Pin=C19-2
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=NetC2_2 Pin=C21-1
Added Pin To Net: NetName=GND Pin=C21-2
Added Pin To Net: NetName=NetQ2_3 Pin=C22-1
Added Pin To Net: NetName=GND Pin=C22-2
Added Pin To Net: NetName=NetC2_2 Pin=C23-1
Added Pin To Net: NetName=GND Pin=C23-2
Added Pin To Net: NetName=NetD10_2 Pin=D10-2
Added Pin To Net: NetName=GND Pin=D11-2
Added Pin To Net: NetName=GND Pin=D12-2
Added Pin To Net: NetName=NetC2_2 Pin=D23-1
Added Pin To Net: NetName=NetC2_2 Pin=D24-1
Added Pin To Net: NetName=GND Pin=D25-2
Added Pin To Net: NetName=GND Pin=D26-2
Added Pin To Net: NetName=NetC7_2 Pin=FB1-1
Added Pin To Net: NetName=NetQ2_3 Pin=FB2-2
Added Pin To Net: NetName=NetD19_3 Pin=J3-3
Added Pin To Net: NetName=NetC3_2 Pin=J3-5
Added Pin To Net: NetName=NetD15_1 Pin=J3-7
Added Pin To Net: NetName=GND Pin=LED1-2
Added Pin To Net: NetName=GND Pin=LED2-1
Added Pin To Net: NetName=NetJ1_9 Pin=R8-1
Added Pin To Net: NetName=NetJ1_8 Pin=R12-1
Added Pin To Net: NetName=NetJ1_9 Pin=R15-1
Added Pin To Net: NetName=NetJ1_8 Pin=R17-1
Added Pin To Net: NetName=NetJ1_26 Pin=R27-2
Added Pin To Net: NetName=GND Pin=R28-1
Added Pin To Net: NetName=GND Pin=R29-1
Added Pin To Net: NetName=NetC7_2 Pin=R30-2
Added Pin To Net: NetName=NetR27_1 Pin=R31-2
